ID,PYIELD_MODEL
4312,6.253714754
4313,8.526034578
4314,9.151220033
4315,7.223070043
4316,8.676047556
4319,8.550207448
4320,6.545577966
4321,9.895729838
4322,8.490268828
4323,11.73062076
4324,8.316774814
4326,9.134890292
4327,9.143780975
4328,10.32700622
4329,9.171608771
4331,8.19420174
4332,4.088063265
4333,7.440515724
4334,7.323089262
4335,10.88364197
4336,9.452722321
4337,6.370019425
4338,9.411040403
4340,6.296447834
4341,9.556563744
4342,7.208500261
4343,8.625944228
4345,6.446731132
4346,4.986739786
4347,10.71867115
4348,7.985306739
4349,8.632341485
4350,6.99409968
4352,9.894294298
4353,5.771284131
4354,7.584607113
4355,5.617110346
4356,5.662365274
4357,7.190992189
4358,9.085867631
4359,7.161753802
4361,7.77868203
4366,6.452505104
4367,8.572719548
4369,7.412189927
4370,7.061401202
4371,9.617271703
4372,9.678346113
4373,8.762295344
4374,9.476992376
4375,6.517220848
4377,6.488999869
4379,9.73474468
4382,8.113079917
4383,8.118469455
4384,7.685842368
4385,8.354939061
4386,6.690294831
4387,6.933525423
4388,8.576577665
4390,11.79000309
4391,8.37068471
4392,8.021279495
4393,9.841218906
4396,8.550592862
4397,8.40869827
4398,9.179337113
4399,6.227685711
4400,6.27786324
4401,10.59868158
4402,6.720417404
4403,7.4260788
4404,10.61210136
4405,11.08774421
4406,8.134586424
4407,8.574869914
4408,9.660308651
4409,7.750756521
4410,8.027441584
4413,6.685272126
4414,7.537486572
4415,6.957700614
4418,6.063298507
4419,7.465389698
4420,6.637931519
4421,6.518060325
4422,9.667382727
4423,8.620561143
4424,8.033712303
4425,6.101031823
4426,8.073512781
4427,7.833231757
4428,10.79558305
4429,6.707664348
4430,5.470823005
4431,6.306240471
4432,4.551356651
4433,1.02758053
4434,4.2464236
4435,1.198080782
4437,1.409520748
4438,4.24852004
4439,1.965811586
4440,7.927383288
4442,2.504530833
4443,3.001060817
4444,2.295902935
4445,7.220537895
4446,2.395393149
4447,5.301339445
4448,2.954230399
4450,4.10627205
4451,6.250641255
4452,6.168643845
4454,9.358195036
4455,4.691986336
4456,3.24804522
4458,7.071340254
4459,7.892716803
4460,5.545232624
4461,7.826589597
4462,4.971775668
4463,2.716496253
4464,3.589506938
4466,4.531508067
4467,4.656855859
4468,4.518545425
4469,5.591244666
4470,4.640756519
4471,5.59610721
4472,5.024194667
4473,6.871908502
4474,8.294944929
4475,5.239069255
4477,6.673209325
4479,5.319625649
4480,4.693559663
4481,5.169445447
4482,4.833362802
4483,5.480727195
4485,8.645976205
4486,5.112644218
4487,5.204240419
4488,9.217727843
4489,5.190695869
4490,9.488051896
4492,4.369603067
4493,5.284373765
4494,4.886202732
4496,7.748200698
4497,5.621642293
4499,6.900841681
4500,4.676269093
4501,6.563099646
4502,7.39125455
4503,5.728656068
4504,7.339809295
4505,5.522406823
4506,6.032266842
4507,7.942312184
4508,6.348477721
4509,7.756934463
4510,4.194060171
4511,6.246622064
4512,7.013103498
4514,4.772188092
4515,4.292987991
4516,6.606305991
4517,3.618975141
4518,4.802613704
4520,5.33539854
4522,2.74924872
4523,2.762073103
4524,3.040140216
4526,6.042050563
4527,4.866012479
4528,5.086275267
4529,5.937497338
