ID,VARIETY,YIELD_OBS
4312,CL111,6.847399333
4313,CL151,9.140676877
4314,CL152,9.826049696
4315,CL271,7.415656575
4316,LA2125,9.016093447
4319,MERMENTAU,8.776829068
4320,JUPITER,7.384374877
4321,CLXL745,10.22505189
4322,LAH10,9.002386279
4323,XL753,12.31114474
4324,LA2137,7.971552912
4326,CLXL745,9.900130809
4327,CL152,10.39654509
4328,MERMENTAU,10.64949196
4329,JUPITER,9.556471984
4331,LA2125,8.169895235
4332,CL111,5.493943566
4333,LA2137,7.823562217
4334,CL271,7.996034644
4335,XL753,10.75607581
4336,LAH10,10.06349166
4337,CL151,6.210866686
4338,CLXL745,9.329391004
4340,CL151,7.849569495
4341,LAH10,10.1393726
4342,CL152,8.591231741
4343,MERMENTAU,9.010098812
4345,LA2125,7.996188919
4346,CL111,5.854781353
4347,XL753,11.21388594
4348,LA2137,8.113608026
4349,JUPITER,9.072644331
4350,CL271,7.897285192
4352,LAH10,11.02593213
4353,CL271,7.365707505
4354,CL151,8.141536548
4355,CL111,6.323369321
4356,CLXL745,6.909184007
4357,CL152,8.072704957
4358,XL753,10.77942944
4359,MERMENTAU,7.659580202
4361,JUPITER,8.865512399
4366,CL111,7.563733721
4367,MERMENTAU,8.344186265
4369,CL151,7.918594035
4370,CL152,7.797487164
4371,CLXL745,10.20005756
4372,LAH10,9.843970279
4373,JUPITER,8.806767921
4374,XL753,10.70725549
4375,CL271,7.088604056
4377,CL271,7.578023373
4379,LAH10,10.69156162
4382,JUPITER,8.818817938
4383,CL151,8.522372393
4384,MERMENTAU,8.052362682
4385,CLXL745,8.849400291
4386,CL111,7.289029774
4387,CL152,6.857526234
4388,XL753,9.693486912
4390,XL753,12.37888496
4391,CL153,9.748645042
4392,JUPITER,8.17756572
4393,CL151,10.53307501
4396,MERMENTAU,8.678339779
4397,LAH10,9.159019317
4398,CL111,8.820024751
4399,CL272,7.310006951
4400,CL152,6.947126803
4401,CLXL745,10.71714011
4402,CL271,6.377709734
4403,CL111,8.496471623
4404,XL753,11.18963563
4405,CLXL745,11.3382784
4406,CL151,8.897058989
4407,CL153,8.515059717
4408,LAH10,9.980856231
4409,MERMENTAU,7.160739455
4410,JUPITER,7.774863718
4413,CL152,7.768029242
4414,CL271,7.780593324
4415,CL272,7.329113723
4418,CL152,7.181514265
4419,CL151,8.520306245
4420,CL272,7.371458055
4421,JUPITER,7.367304486
4422,CLXL745,10.3201002
4423,XL753,9.795949309
4424,MERMENTAU,8.445015679
4425,CL271,7.068565855
4426,CL111,8.452579104
4427,CL153,8.583226018
4428,LAH10,10.60942607
4429,CLXL745,7.551349205
4430,CL151,5.382825759
4431,LAH10,6.361186023
4432,CL153,4.482915733
4433,JUPITER,2.064624804
4434,CL111,4.866240846
4435,CL272,1.77754665
4437,CL271,2.197088439
4438,CL152,3.443855391
4439,MERMENTAU,2.237120498
4440,XL753,8.266855995
4442,MERMENTAU,3.377689362
4443,CL272,2.748539142
4444,JUPITER,3.256231039
4445,LAH10,7.389099763
4446,CL271,2.857310229
4447,CL151,5.397883732
4448,CL152,3.11324325
4450,CL153,4.966592645
4451,XL753,7.492169986
4452,CL111,5.940778568
4454,CLXL745,9.241172313
4455,JUPITER,4.172030349
4456,CL271,3.388815511
4458,LAH10,6.926257196
4459,XL753,7.473925046
4460,CL111,5.698930347
4461,CLXL745,8.060019119
4462,CL153,5.386662113
4463,CL272,2.408691475
4464,MERMENTAU,3.929139304
4466,CL152,5.009374258
4467,CL151,5.217249698
4468,CL272,4.929393415
4469,CL152,6.660169845
4470,CL151,5.729519467
4471,MERMENTAU,5.489485293
4472,XL753,6.912498749
4473,CL153,7.463939722
4474,CLXL745,8.84425963
4475,CL271,5.926959972
4477,LAH10,7.791371533
4479,CL111,6.570388186
4480,JUPITER,5.895143834
4481,CL271,5.07627597
4482,JUPITER,5.510600112
4483,CL153,6.807457181
4485,CLXL745,8.282144708
4486,CL111,6.976089416
4487,CL151,7.033547489
4488,LAH10,9.877770963
4489,CL152,6.396778665
4490,XL753,10.39718516
4492,CL272,4.73413725
4493,MERMENTAU,6.01173842
4494,JUPITER,5.424431533
4496,CL152,7.927078567
4497,MERMENTAU,6.385206563
4499,CLXL745,7.869020829
4500,CL272,5.498911862
4501,CL111,7.449193653
4502,XL753,7.760018889
