"Clay loam"||"135126975"|"137444880"
"Silt loam"||"135126526"|"137444786"
"Clay loam"||"135126927"|"137445008"
"Sandy clay loam"||"135126757"|"137444516"
"Very fine sandy loam"||"135126630"|"137444738"
"Silt loam"||"135126928"|"137445009"
"Very fine sandy loam"||"135126964"|"137444556"
"Very fine sandy loam"||"135126622"|"137444715"
"Silty clay loam"||"135126768"|"137444827"
"Silt loam"||"135126411"|"137444633"
"Silty clay"||"135126916"|"137444533"
"Clay loam"||"135126746"|"137444823"
"Silty clay loam"||"135126527"|"137444944"
"Clay loam"||"135126759"|"137444989"
"Sandy clay"||"135126755"|"137444514"
"Loam"||"135126802"|"137444588"
"Silty clay loam"||"135126965"|"137444557"
"Silty clay loam"||"135126643"|"137444719"
"Silt loam"||"135126619"|"137445023"
"Silt loam"||"135126766"|"137444826"
"Sandy clay loam"||"135126735"|"137444807"
"Very fine sandy loam"||"135126917"|"137444534"
"Clay"||"135126737"|"137444653"
"Sandy clay loam"||"135126661"|"137444580"
"Loam"||"135126748"|"137444986"
"Very fine sandy loam"||"135126474"|"137445016"
"Silty clay loam"||"135126663"|"137444733"
"Sandy clay loam"||"135126650"|"137444565"
"Sandy clay loam"||"135126641"|"137445026"
"Silt loam"||"135126724"|"137444655"
"Clay"||"135126824"|"137445070"
"Clay"||"135126795"|"137444708"
"Silt loam"||"135126610"|"137444723"
"Silty clay loam"||"135126726"|"137444500"
"Silty clay loam"||"135126412"|"137444784"
"Silt loam"||"135126642"|"137444866"
"Silt loam"||"135126725"|"137444499"
"Clay loam"||"135126924"|"137444850"
"Silt loam"||"135126957"|"137445015"
"Sandy clay loam"||"135126631"|"137445043"
"Clay"||"135126652"|"137445041"
"Loam"||"135126716"|"137444501"
"Clay loam"||"135126410"|"137444783"
"Clay"||"135126813"|"137445059"
"Silt loam"||"135126473"|"137445019"
"Very fine sandy loam"||"135126611"|"137444872"
"Silt loam"||"135126632"|"137444560"
"Fine sandy loam"||"135126401"|"137444585"
"Silty clay loam"||"135126475"|"137445017"
"Very fine sandy loam"||"135126620"|"137444862"
"Silty clay loam"||"135126806"|"137445096"
"Silty clay"||"135126736"|"137444965"
"Silty clay loam"||"135126968"|"137444915"
"Loam"||"135126525"|"137444635"
"Silt loam"||"135126609"|"137445031"
"Clay"||"135126817"|"137445069"
"Clay"||"135126898"|"137444507"
"Sandy clay loam"||"135126621"|"137445020"
"Silty clay loam"||"135126614"|"137444722"
"Loam"||"135126799"|"137444891"
"Clay"||"135126915"|"137444532"
"Loam"||"135126758"|"137444676"
"Sandy clay loam"||"135126403"|"137444587"
"Loam"||"135126721"|"137444810"
"Silt loam"||"135126477"|"137444713"
"Silty clay"||"135126820"|"137445071"
"Silt loam"||"135126966"|"137444731"
"Sandy clay loam"||"135126747"|"137444985"
"Silt loam"||"135126625"|"137444559"
