"CL"|Yes|"67122020"|"125003408"
"SC"|No |"67122020"|"125003409"
"SC-SM"|No |"67122020"|"125003410"
"CH"|Yes|"67122022"|"125003413"
"CL-ML"|No |"67122023"|"125003414"
"ML"|No |"67122023"|"125003415"
"CL"|Yes|"67122023"|"125003416"
"CL"|No |"67122024"|"125003417"
"SC"|No |"67122024"|"125003418"
"CH"|Yes|"67122024"|"125003419"
"SC"|No |"67122025"|"125003421"
"CL"|Yes|"67122025"|"125003420"
"CL"|Yes|"67122026"|"125003422"
"SC"|No |"67122026"|"125003423"
"CL"|Yes|"67122029"|"125003427"
"CL-ML"|Yes|"67122027"|"125003424"
"ML"|No |"67122027"|"125003425"
"CL"|Yes|"67122028"|"125003426"
"CL-ML"|No |"67122046"|"125003456"
"CL"|Yes|"67122046"|"125003457"
"CL-ML"|No |"67122047"|"125003458"
"CL"|Yes|"67122047"|"125003459"
"CL"|Yes|"67122045"|"125003455"
"CL-ML"|No |"67122045"|"125003454"
"CH"|Yes|"67122111"|"125003562"
"CL"|Yes|"67122113"|"125003564"
"CL-ML"|No |"67122113"|"125003565"
"CH"|Yes|"67122112"|"125003563"
"SC-SM"|Yes|"67122019"|"125003406"
"SM"|No |"67122019"|"125003407"
"CL"|Yes|"67122021"|"125003411"
"SC"|No |"67122021"|"125003412"
"CL"|Yes|"67122116"|"125003570"
"ML"|No |"67122116"|"125003571"
"CL"|No |"67122117"|"125003572"
"CL-ML"|Yes|"67122117"|"125003573"
"ML"|No |"67122117"|"125003574"
"CL-ML"|Yes|"67122114"|"125003566"
"CL"|No |"67122114"|"125003567"
"CL"|Yes|"67122115"|"125003568"
"ML"|No |"67122115"|"125003569"
"CH"|Yes|"67122043"|"125003452"
"CH"|Yes|"67122042"|"125003451"
"CH"|Yes|"67122044"|"125003453"
"CH"|Yes|"67122041"|"125003450"
"CH"|Yes|"67122099"|"125003543"
"CL"|No |"67122099"|"125003544"
"CH"|Yes|"67122100"|"125003545"
"CH"|Yes|"67122101"|"125003546"
"CH"|Yes|"67122015"|"125003401"
"CH"|Yes|"67122013"|"125003396"
"CL"|No |"67122013"|"125003397"
"SC"|No |"67122013"|"125003398"
"CH"|Yes|"67122014"|"125003399"
"CL"|No |"67122014"|"125003400"
"SC-SM"|Yes|"67122010"|"125003389"
"SM"|No |"67122010"|"125003390"
"CL"|Yes|"67122011"|"125003391"
"SC"|No |"67122011"|"125003392"
"SC-SM"|No |"67122011"|"125003393"
"CL"|Yes|"67122012"|"125003394"
"SC"|No |"67122012"|"125003395"
"CL"|Yes|"67122009"|"125003388"
"CL"|Yes|"67122008"|"125003387"
"CL-ML"|Yes|"67122007"|"125003385"
"ML"|No |"67122007"|"125003386"
"CL"|Yes|"67122006"|"125003383"
"SC"|No |"67122006"|"125003384"
"CL"|Yes|"67122005"|"125003381"
"SC"|No |"67122005"|"125003382"
"ML"|No |"67121892"|"125003193"
"CL"|Yes|"67121892"|"125003194"
"CL-ML"|No |"67121892"|"125003195"
"CL"|Yes|"67121890"|"125003190"
"CL-ML"|No |"67121891"|"125003191"
"ML"|Yes|"67121891"|"125003192"
"ML"|No |"67121893"|"125003196"
"CL"|Yes|"67121893"|"125003197"
"CL-ML"|No |"67121893"|"125003198"
"CL-ML"|No |"67121889"|"125003188"
"ML"|Yes|"67121889"|"125003189"
"CL"|Yes|"67121922"|"125003244"
"CL-ML"|No |"67121922"|"125003245"
"CL"|Yes|"67121920"|"125003242"
"CL"|Yes|"67121921"|"125003243"
"CL-ML"|No |"67122133"|"125003599"
"ML"|Yes|"67122133"|"125003600"
"ML"|No |"67122134"|"125003601"
"CL"|Yes|"67122134"|"125003602"
"CL-ML"|No |"67122134"|"125003603"
"ML"|No |"67122135"|"125003604"
"CL"|Yes|"67122135"|"125003605"
"CL-ML"|No |"67122135"|"125003606"
"CL-ML"|No |"67122131"|"125003596"
"ML"|Yes|"67122131"|"125003597"
"CL"|Yes|"67122132"|"125003598"
"ML"|No |"67122137"|"125003609"
"CL"|Yes|"67122137"|"125003610"
"CL-ML"|No |"67122139"|"125003612"
"CL"|Yes|"67122139"|"125003613"
"CL"|Yes|"67122138"|"125003611"
"CL-ML"|No |"67122140"|"125003614"
"ML"|No |"67122140"|"125003615"
"CL"|Yes|"67122140"|"125003616"
"CL-ML"|Yes|"67122136"|"125003607"
"ML"|No |"67122136"|"125003608"
"CH"|Yes|"67121862"|"125003143"
"CL"|No |"67121862"|"125003144"
"SC"|No |"67121862"|"125003145"
"CH"|Yes|"67121860"|"125003140"
"CH"|Yes|"67121861"|"125003141"
"CL"|No |"67121861"|"125003142"
"CL"|No |"67121859"|"125003138"
"ML"|Yes|"67121859"|"125003139"
"CL"|Yes|"67121858"|"125003137"
"CL-ML"|No |"67121857"|"125003134"
"ML"|No |"67121857"|"125003135"
"CL"|Yes|"67121857"|"125003136"
"CL"|Yes|"67121856"|"125003132"
"SC"|No |"67121856"|"125003133"
"SC-SM"|Yes|"67121854"|"125003127"
"SM"|No |"67121854"|"125003128"
"CL"|Yes|"67121855"|"125003129"
"SC"|No |"67121855"|"125003130"
"SC-SM"|No |"67121855"|"125003131"
"CL"|No |"67122059"|"125003476"
"CH"|Yes|"67122059"|"125003477"
"CH"|Yes|"67122062"|"125003480"
"CH"|Yes|"67122060"|"125003478"
"CH"|Yes|"67122061"|"125003479"
"CH"|Yes|"67122058"|"125003475"
"CH"|Yes|"67122057"|"125003474"
"OH"|No |"67122055"|"125003470"
"CH"|Yes|"67122055"|"125003471"
"CH"|Yes|"67122056"|"125003472"
"CL"|No |"67122056"|"125003473"
"CH"|Yes|"67122051"|"125003466"
"CH"|Yes|"67122054"|"125003469"
"CH"|Yes|"67122053"|"125003468"
"CH"|Yes|"67122052"|"125003467"
"CL"|Yes|"67122048"|"125003460"
"MH"|No |"67122048"|"125003461"
"CL"|Yes|"67122050"|"125003464"
"CL-ML"|No |"67122050"|"125003465"
"CH"|Yes|"67122049"|"125003462"
"CL"|No |"67122049"|"125003463"
"CH"|Yes|"67121981"|"125003348"
"CL"|No |"67121981"|"125003349"
"CH"|Yes|"67121983"|"125003351"
"CH"|Yes|"67121980"|"125003347"
"CH"|Yes|"67121982"|"125003350"
"CH"|Yes|"67121969"|"125003333"
"CH"|Yes|"67121977"|"125003342"
"CL"|No |"67121977"|"125003343"
"CL"|Yes|"67121972"|"125003336"
"CH"|Yes|"67121978"|"125003344"
"CL"|No |"67121978"|"125003345"
"CL"|Yes|"67121979"|"125003346"
"CL"|Yes|"67121970"|"125003334"
"CL"|Yes|"67121974"|"125003338"
"CH"|Yes|"67121976"|"125003340"
"CL"|No |"67121976"|"125003341"
"CL"|Yes|"67121971"|"125003335"
"CL"|Yes|"67121975"|"125003339"
"CL"|Yes|"67121973"|"125003337"
"CL"|Yes|"67121963"|"125003321"
"CH"|No |"67121963"|"125003322"
"CL"|Yes|"67121968"|"125003331"
"ML"|No |"67121968"|"125003332"
"ML"|No |"67121965"|"125003324"
"CL"|Yes|"67121965"|"125003325"
"CL"|Yes|"67121964"|"125003323"
"CL-ML"|Yes|"67121966"|"125003326"
"CL"|No |"67121966"|"125003327"
"ML"|No |"67121966"|"125003328"
"CL"|No |"67121967"|"125003329"
"ML"|Yes|"67121967"|"125003330"
