ID,MUSYM
4312,Cl
4313,Cl
4314,Cl
4315,Cl
4316,Cl
4319,Cl
4320,Cl
4321,Cl
4322,Cl
4323,Cl
4324,Cl
4326,Cl
4327,Cl
4328,Cl
4329,Cl
4331,Cl
4332,Cl
4333,Cl
4334,Cl
4335,Cl
4336,Cl
4337,Cl
4338,Cl
4340,Cl
4341,Cl
4342,Cl
4343,Cl
4345,Cl
4346,Cl
4347,Cl
4348,Cl
4349,Cl
4350,Cl
4352,Cl
4353,Cl
4354,Cl
4355,Cl
4356,Cl
4357,Cl
4358,Cl
4359,Cl
4361,Cl
4366,Cl
4367,Cl
4369,Cl
4370,Cl
4371,Cl
4372,Cl
4373,Cl
4374,Cl
4375,Cl
4377,Cl
4379,Cl
4382,Cl
4383,Cl
4384,Cl
4385,Cl
4386,Cl
4387,Cl
4388,Cl
4390,Cl
4391,Cl
4392,Cl
4393,Cl
4396,Cl
4397,Cl
4398,Cl
4399,Cl
4400,Cl
4401,Cl
4402,Cl
4403,Cl
4404,Cl
4405,Cl
4406,Cl
4407,Cl
4408,Cl
4409,Cl
4410,Cl
4413,Cl
4414,Cl
4415,Cl
4418,Cl
4419,Cl
4420,Cl
4421,Cl
4422,Cl
4423,Cl
4424,Cl
4425,Cl
4426,Cl
4427,Cl
4428,Cl
4429,Cl
4430,Cl
4431,Cl
4432,Cl
4433,Cl
4434,Cl
4435,Cl
4437,Cl
4438,Cl
4439,Cl
4440,Cl
4442,Cl
4443,Cl
4444,Cl
4445,Cl
4446,Cl
4447,Cl
4448,Cl
4450,Cl
4451,Cl
4452,Cl
4454,Cl
4455,Cl
4456,Cl
4458,Cl
4459,Cl
4460,Cl
4461,Cl
4462,Cl
4463,Cl
4464,Cl
4466,Cl
4467,Cl
4468,Cl
4469,Cl
4470,Cl
4471,Cl
4472,Cl
4473,Cl
4474,Cl
4475,Cl
4477,Cl
4479,Cl
4480,Cl
4481,Cl
4482,Cl
4483,Cl
4485,Cl
4486,Cl
4487,Cl
4488,Cl
4489,Cl
4490,Cl
4492,Cl
4493,Cl
4494,Cl
4496,Cl
4497,Cl
4499,Cl
4500,Cl
4501,Cl
4502,Cl
4503,Cl
4504,Cl
4505,Cl
4506,Cl
4507,Cl
4508,Cl
4509,Cl
4510,Cl
4511,Cl
4512,Cl
4514,Cl
4515,Cl
4516,Cl
4517,Cl
4518,Cl
4520,Cl
4522,Cl
4523,Cl
4524,Cl
4526,Cl
4527,Cl
4528,Cl
4529,Cl
4530,Cl
4531,Cl
4532,Cl
4533,Cl
4534,Cl
4535,Cl
4537,Cl
4538,Cl
4539,Cl
