LOCATION,Date,MINTEMP,MAXTEMP
RRS,1/1/2015,43,56
RRS,1/2/2015,56,68
RRS,1/3/2015,59,72
RRS,1/4/2015,44,59
RRS,1/5/2015,34,50
RRS,1/6/2015,31,64
RRS,1/7/2015,30,56
RRS,1/8/2015,23,37
RRS,1/9/2015,35,39
RRS,1/10/2015,33,50
RRS,1/11/2015,44,60
RRS,1/12/2015,47,61
RRS,1/13/2015,38,47
RRS,1/14/2015,36,39
RRS,1/15/2015,36,53
RRS,1/16/2015,31,58
RRS,1/17/2015,34,62
RRS,1/18/2015,46,71
RRS,1/19/2015,32,69
RRS,1/20/2015,41,72
RRS,1/21/2015,47,71
RRS,1/22/2015,45,60
RRS,1/23/2015,39,45
RRS,1/24/2015,35,58
RRS,1/25/2015,41,67
RRS,1/26/2015,44,62
RRS,1/27/2015,46,76
RRS,1/28/2015,45,71
RRS,1/29/2015,48,74
RRS,1/30/2015,42,62
RRS,1/31/2015,41,65
RRS,2/1/2015,55,71
RRS,2/2/2015,34,54
RRS,2/3/2015,33,47
RRS,2/4/2015,43,51
RRS,2/5/2015,39,56
RRS,2/6/2015,33,61
RRS,2/7/2015,37,68
RRS,2/8/2015,51,74
RRS,2/9/2015,57,77
RRS,2/10/2015,43,67
RRS,2/11/2015,41,74
RRS,2/12/2015,42,63
RRS,2/13/2015,33,59
RRS,2/14/2015,39,71
RRS,2/15/2015,52,65
RRS,2/16/2015,37,72
RRS,2/17/2015,31,47
RRS,2/18/2015,30,57
RRS,2/19/2015,33,55
RRS,2/20/2015,40,67
RRS,2/21/2015,63,70
RRS,2/22/2015,45,72
RRS,2/23/2015,33,45
RRS,2/24/2015,31,43
RRS,2/25/2015,38,41
RRS,2/26/2015,36,50
RRS,2/27/2015,35,52
RRS,2/28/2015,33,67
RRS,3/1/2015,56,76
RRS,3/2/2015,53,64
RRS,3/3/2015,53,79
RRS,3/4/2015,66,80
RRS,3/5/2015,32,72
RRS,3/6/2015,29,50
RRS,3/7/2015,31,65
RRS,3/8/2015,49,70
RRS,3/9/2015,54,70
RRS,3/10/2015,60,71
RRS,3/11/2015,59,63
RRS,3/12/2015,60,71
RRS,3/13/2015,62,72
RRS,3/14/2015,60,75
RRS,3/15/2015,58,79
RRS,3/16/2015,58,82
RRS,3/17/2015,60,83
RRS,3/18/2015,65,76
RRS,3/19/2015,65,82
RRS,3/20/2015,66,84
RRS,3/21/2015,65,81
RRS,3/22/2015,61,78
RRS,3/23/2015,57,70
RRS,3/24/2015,56,75
RRS,3/25/2015,55,79
RRS,3/26/2015,56,75
RRS,3/27/2015,46,73
RRS,3/28/2015,48,74
RRS,3/29/2015,54,79
RRS,3/30/2015,61,82
RRS,3/31/2015,60,81
RRS,4/1/2015,61,81
RRS,4/2/2015,69,83
RRS,4/3/2015,68,84
RRS,4/4/2015,56,73
RRS,4/5/2015,53,72
RRS,4/6/2015,62,81
RRS,4/7/2015,63,85
RRS,4/8/2015,66,85
RRS,4/9/2015,71,84
RRS,4/10/2015,63,83
RRS,4/11/2015,62,79
